total_transactions,query_name,total_customers,total_merchants,fraudulent_transactions,fraud_rate,montant_moyen,montant_min,montant_max,montant_total,category,nombre_transactions,volume_total,fraudulent_amount,merchant,gender,tranche_age,jour,transactions_frauduleuses,taux_fraude,customer,nombre_commercants,nombre_categories,id,step,age,zipcodeOri,zipMerchant,amount,fraud,zscore
1744.0,fraud_by_category,,,548.0,31.42,,,,,es_hotelservices,,,231159.19,,,,,,,,,,,,,,,,,
912.0,fraud_by_category,,,228.0,25.0,,,,,es_otherservices,,,72155.07,,,,,,,,,,,,,,,,,
1986.0,fraud_by_category,,,302.0,15.21,,,,,es_home,,,138160.42,,,,,,,,,,,,,,,,,
16133.0,fraud_by_category,,,1696.0,10.51,,,,,es_health,,,690325.15,,,,,,,,,,,,,,,,,
2370.0,fraud_by_category,,,158.0,6.67,,,,,es_tech,,,65613.31,,,,,,,,,,,,,,,,,
15086.0,fraud_by_category,,,718.0,4.76,,,,,es_wellnessandbeauty,,,164725.38,,,,,,,,,,,,,,,,,
6098.0,fraud_by_category,,,280.0,4.59,,,,,es_hyper,,,47391.52,,,,,,,,,,,,,,,,,
6373.0,fraud_by_category,,,120.0,1.88,,,,,es_barsandrestaurants,,,19691.12,,,,,,,,,,,,,,,,,
6454.0,fraud_by_category,,,116.0,1.8,,,,,es_fashion,,,28652.95,,,,,,,,,,,,,,,,,
885.0,fraud_by_category,,,0.0,0.0,,,,,es_contents,,,0.0,,,,,,,,,,,,,,,,,
26254.0,fraud_by_category,,,0.0,0.0,,,,,es_food,,,0.0,,,,,,,,,,,,,,,,,
505119.0,fraud_by_category,,,0.0,0.0,,,,,es_transportation,,,0.0,,,,,,,,,,,,,,,,,
191.0,top_fraud_merchants,,,184.0,96.34,,,,,,,55326.42,,M1294758098,,,,,,,,,,,,,,,,
308.0,top_fraud_merchants,,,290.0,94.16,,,,,,,88840.32,,M3697346,,,,,,,,,,,,,,,,
250.0,top_fraud_merchants,,,216.0,86.4,,,,,,,94059.33,,M1873032707,,,,,,,,,,,,,,,,
608.0,top_fraud_merchants,,,518.0,85.2,,,,,,,1413661.65,,M732195782,,,,,,,,,,,,,,,,
1769.0,top_fraud_merchants,,,1472.0,83.21,,,,,,,530635.69,,M980657600,,,,,,,,,,,,,,,,
122.0,top_fraud_merchants,,,92.0,75.41,,,,,,,43460.67,,M857378720,,,,,,,,,,,,,,,,
244.0,top_fraud_merchants,,,166.0,68.03,,,,,,,78953.83,,M2011752106,,,,,,,,,,,,,,,,
282.0,top_fraud_merchants,,,178.0,63.12,,,,,,,70606.39,,M17379832,,,,,,,,,,,,,,,,
341.0,top_fraud_merchants,,,200.0,58.65,,,,,,,109999.72,,M2122776122,,,,,,,,,,,,,,,,
3508.0,top_fraud_merchants,,,1634.0,46.58,,,,,,,858388.22,,M480139044,,,,,,,,,,,,,,,,
1178.0,gender_distribution,,,,0.59,36.63,,,,,,,,,E,,,,,,,,,,,,,,,
324565.0,gender_distribution,,,,1.47,39.21,,,,,,,,,F,,,,,,,,,,,,,,,
268385.0,gender_distribution,,,,0.91,36.31,,,,,,,,,M,,,,,,,,,,,,,,,
515.0,gender_distribution,,,,0.0,31.51,,,,,,,,,U,,,,,,,,,,,,,,,
147131.0,age_distribution,,,,1.19,37.88,,,,,,,,,,20-30,,,,,,,,,,,,,,
109025.0,age_distribution,,,,1.29,38.2,,,,,,,,,,31-40,,,,,,,,,,,,,,
62642.0,age_distribution,,,,1.1,36.43,,,,,,,,,,41-50,,,,,,,,,,,,,,
26774.0,age_distribution,,,,0.97,36.87,,,,,,,,,,51-60,,,,,,,,,,,,,,
247893.0,age_distribution,,,,1.24,38.25,,,,,,,,,,< 20,,,,,,,,,,,,,,
1178.0,age_distribution,,,,0.59,36.63,,,,,,,,,,> 60,,,,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2430.0,92563.27,,,,,0.0,40.0,1.65,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2424.0,101662.95,,,,,1.0,40.0,1.65,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2462.0,102285.39,,,,,2.0,40.0,1.62,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2499.0,107622.07,,,,,3.0,40.0,1.6,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2532.0,104445.74,,,,,4.0,40.0,1.58,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2525.0,96291.26,,,,,5.0,40.0,1.58,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2580.0,121420.62,,,,,6.0,40.0,1.55,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2539.0,116619.91,,,,,7.0,40.0,1.58,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2575.0,103526.43,,,,,8.0,40.0,1.55,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2638.0,96129.9,,,,,9.0,40.0,1.52,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2622.0,99146.41,,,,,10.0,40.0,1.53,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2636.0,95654.28,,,,,11.0,40.0,1.52,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2671.0,95403.23,,,,,12.0,40.0,1.5,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2682.0,115912.41,,,,,13.0,40.0,1.49,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2723.0,95916.94,,,,,14.0,40.0,1.47,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2699.0,100090.55,,,,,15.0,40.0,1.48,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2688.0,110208.0,,,,,16.0,40.0,1.49,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2709.0,104622.39,,,,,17.0,40.0,1.48,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2758.0,112075.7,,,,,18.0,40.0,1.45,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2734.0,103430.24,,,,,19.0,40.0,1.46,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2761.0,111738.66,,,,,20.0,40.0,1.45,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2789.0,113938.24,,,,,21.0,40.0,1.43,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2797.0,105096.45,,,,,22.0,40.0,1.43,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2797.0,116036.17,,,,,23.0,40.0,1.43,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2806.0,100768.64,,,,,24.0,40.0,1.43,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2859.0,107896.45,,,,,25.0,40.0,1.4,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2886.0,109683.33,,,,,26.0,40.0,1.39,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2897.0,120338.08,,,,,27.0,40.0,1.38,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2878.0,117165.31,,,,,28.0,40.0,1.39,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2883.0,121816.43,,,,,29.0,40.0,1.39,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2895.0,108101.71,,,,,30.0,40.0,1.38,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2939.0,109352.33,,,,,31.0,40.0,1.36,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2938.0,117452.43,,,,,32.0,40.0,1.36,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2947.0,126214.47,,,,,33.0,40.0,1.36,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2961.0,119491.05,,,,,34.0,40.0,1.35,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2981.0,119270.18,,,,,35.0,40.0,1.34,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2969.0,108182.22,,,,,36.0,40.0,1.35,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3006.0,115980.59,,,,,37.0,40.0,1.33,,,,,,,,,,,
,daily_transactions,,,,,,,,,,2995.0,123905.6,,,,,38.0,40.0,1.34,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3015.0,116810.89,,,,,39.0,40.0,1.33,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3011.0,108173.66,,,,,40.0,40.0,1.33,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3031.0,119777.16,,,,,41.0,40.0,1.32,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3021.0,124495.78,,,,,42.0,40.0,1.32,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3037.0,123517.48,,,,,43.0,40.0,1.32,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3059.0,108711.79,,,,,44.0,40.0,1.31,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3062.0,122122.94,,,,,45.0,40.0,1.31,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3052.0,105517.05,,,,,46.0,40.0,1.31,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3099.0,113883.59,,,,,47.0,40.0,1.29,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3082.0,130925.21,,,,,48.0,40.0,1.3,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3083.0,131243.44,,,,,49.0,40.0,1.3,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3075.0,117292.64,,,,,50.0,40.0,1.3,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3115.0,111990.21,,,,,51.0,40.0,1.28,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3107.0,110640.19,,,,,52.0,40.0,1.29,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3128.0,129002.04,,,,,53.0,40.0,1.28,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3087.0,117123.02,,,,,54.0,40.0,1.3,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3101.0,112582.55,,,,,55.0,40.0,1.29,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3130.0,125248.52,,,,,56.0,40.0,1.28,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3140.0,115583.57,,,,,57.0,40.0,1.27,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3137.0,119145.39,,,,,58.0,40.0,1.28,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3116.0,138478.32,,,,,59.0,40.0,1.28,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3155.0,121194.98,,,,,60.0,40.0,1.27,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3178.0,125184.55,,,,,61.0,40.0,1.26,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3167.0,125923.98,,,,,62.0,40.0,1.26,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3233.0,129132.14,,,,,63.0,40.0,1.24,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3201.0,126312.74,,,,,64.0,40.0,1.25,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3208.0,117033.72,,,,,65.0,40.0,1.25,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3210.0,118973.17,,,,,66.0,40.0,1.25,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3201.0,113844.63,,,,,67.0,40.0,1.25,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3239.0,116547.54,,,,,68.0,40.0,1.23,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3236.0,113951.6,,,,,69.0,40.0,1.24,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3305.0,122503.52,,,,,70.0,40.0,1.21,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3299.0,130814.11,,,,,71.0,40.0,1.21,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3268.0,124942.5,,,,,72.0,40.0,1.22,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3264.0,128225.26,,,,,73.0,40.0,1.23,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3281.0,117542.87,,,,,74.0,40.0,1.22,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3295.0,140873.06,,,,,75.0,40.0,1.21,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3338.0,117282.34,,,,,76.0,40.0,1.2,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3333.0,134444.89,,,,,77.0,40.0,1.2,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3337.0,117916.83,,,,,78.0,40.0,1.2,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3321.0,129105.31,,,,,79.0,40.0,1.2,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3289.0,122825.8,,,,,80.0,40.0,1.22,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3359.0,121563.45,,,,,81.0,40.0,1.19,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3361.0,121288.67,,,,,82.0,40.0,1.19,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3356.0,117799.55,,,,,83.0,40.0,1.19,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3357.0,120220.54,,,,,84.0,40.0,1.19,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3370.0,123792.15,,,,,85.0,40.0,1.19,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3374.0,128575.6,,,,,86.0,40.0,1.19,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3382.0,118398.42,,,,,87.0,40.0,1.18,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3378.0,125073.76,,,,,88.0,40.0,1.18,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3395.0,127953.83,,,,,89.0,40.0,1.18,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3417.0,134038.96,,,,,90.0,40.0,1.17,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3392.0,129334.61,,,,,91.0,40.0,1.18,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3423.0,134313.74,,,,,92.0,40.0,1.17,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3407.0,127630.18,,,,,93.0,40.0,1.17,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3408.0,127809.24,,,,,94.0,40.0,1.17,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3463.0,123042.74,,,,,95.0,40.0,1.16,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3412.0,125301.37,,,,,96.0,40.0,1.17,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3427.0,128445.42,,,,,97.0,40.0,1.17,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3450.0,124574.68,,,,,98.0,40.0,1.16,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3473.0,135890.57,,,,,99.0,40.0,1.15,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3462.0,137531.16,,,,,100.0,40.0,1.16,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3476.0,142129.66,,,,,101.0,40.0,1.15,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3438.0,127624.74,,,,,102.0,40.0,1.16,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3489.0,118097.16,,,,,103.0,40.0,1.15,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3503.0,136215.71,,,,,104.0,40.0,1.14,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3485.0,124872.18,,,,,105.0,40.0,1.15,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3450.0,126625.82,,,,,106.0,40.0,1.16,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3529.0,144918.05,,,,,107.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3512.0,134280.56,,,,,108.0,40.0,1.14,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3484.0,125381.59,,,,,109.0,40.0,1.15,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3487.0,129657.39,,,,,110.0,40.0,1.15,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3535.0,126711.73,,,,,111.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3489.0,118126.01,,,,,112.0,40.0,1.15,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3539.0,134073.93,,,,,113.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3498.0,127802.97,,,,,114.0,40.0,1.14,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3544.0,127140.4,,,,,115.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3567.0,134703.08,,,,,116.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3560.0,128210.81,,,,,117.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3564.0,138733.21,,,,,118.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3543.0,133045.7,,,,,119.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3532.0,136970.87,,,,,120.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3542.0,129106.51,,,,,121.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3580.0,140547.85,,,,,122.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3570.0,135674.43,,,,,123.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3595.0,139523.57,,,,,124.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3599.0,129684.38,,,,,125.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3568.0,131365.04,,,,,126.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3606.0,142699.76,,,,,127.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3611.0,130103.38,,,,,128.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3551.0,127058.24,,,,,129.0,40.0,1.13,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3600.0,138544.2,,,,,130.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3580.0,127339.03,,,,,131.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3602.0,143094.15,,,,,132.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3572.0,132174.59,,,,,133.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3614.0,135963.06,,,,,134.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3616.0,127148.8,,,,,135.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3584.0,126885.95,,,,,136.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3586.0,141117.56,,,,,137.0,40.0,1.12,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3693.0,133283.29,,,,,138.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3654.0,130625.09,,,,,139.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3664.0,138118.07,,,,,140.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3654.0,141938.92,,,,,141.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3657.0,136500.33,,,,,142.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3668.0,139711.04,,,,,143.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3682.0,128953.07,,,,,144.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3615.0,136544.5,,,,,145.0,40.0,1.11,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3656.0,138403.11,,,,,146.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3640.0,145865.46,,,,,147.0,40.0,1.1,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3652.0,131563.94,,,,,148.0,40.0,1.1,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3680.0,147017.96,,,,,149.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3718.0,134286.96,,,,,150.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3725.0,138979.75,,,,,151.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3746.0,151773.23,,,,,152.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3663.0,148228.22,,,,,153.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3670.0,127472.01,,,,,154.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3691.0,134129.89,,,,,155.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3713.0,139032.95,,,,,156.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3668.0,130614.19,,,,,157.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3711.0,138777.22,,,,,158.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3688.0,147685.64,,,,,159.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3664.0,130646.75,,,,,160.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3677.0,138113.47,,,,,161.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3716.0,144343.78,,,,,162.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3708.0,132233.68,,,,,163.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3680.0,137387.52,,,,,164.0,40.0,1.09,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3707.0,134569.78,,,,,165.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3693.0,137913.56,,,,,166.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3701.0,133418.13,,,,,167.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3700.0,131371.24,,,,,168.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3721.0,127001.19,,,,,169.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3715.0,133817.18,,,,,170.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3716.0,134181.37,,,,,171.0,40.0,1.08,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3728.0,141165.57,,,,,172.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3739.0,151369.52,,,,,173.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3743.0,139656.34,,,,,174.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3774.0,132514.09,,,,,175.0,40.0,1.06,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3721.0,130933.45,,,,,176.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3758.0,133461.82,,,,,177.0,40.0,1.06,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3743.0,141236.33,,,,,178.0,40.0,1.07,,,,,,,,,,,
,daily_transactions,,,,,,,,,,3709.0,136036.4,,,,,179.0,40.0,1.08,,,,,,,,,,,
,top_customers,,,,,,,,,,237.0,83755.49,,,,,,125.0,,C806399525,30.0,14.0,,,,,,,,
,top_customers,,,,,,,,,,126.0,64751.08,,,,,,119.0,,C2004941826,24.0,12.0,,,,,,,,
,top_customers,,,,,,,,,,171.0,60693.04,,,,,,127.0,,C1849046345,27.0,13.0,,,,,,,,
,top_customers,,,,,,,,,,101.0,58687.13,,,,,,89.0,,C1572610482,23.0,11.0,,,,,,,,
,top_customers,,,,,,,,,,191.0,56217.36,,,,,,144.0,,C1350963410,26.0,13.0,,,,,,,,
,top_customers,,,,,,,,,,265.0,55965.05,,,,,,110.0,,C1978250683,31.0,14.0,,,,,,,,
,top_customers,,,,,,,,,,252.0,52964.37,,,,,,114.0,,C1275518867,27.0,13.0,,,,,,,,
,top_customers,,,,,,,,,,100.0,51388.87,,,,,,89.0,,C381007057,22.0,10.0,,,,,,,,
,top_customers,,,,,,,,,,98.0,50462.72,,,,,,80.0,,C483912131,20.0,10.0,,,,,,,,
,top_customers,,,,,,,,,,112.0,46100.12,,,,,,87.0,,C1817318774,25.0,13.0,,,,,,,,
,category_merchant_correlation,,,,,,,,,es_transportation,299693.0,8077669.06,,M1823072687,,,,,0.0,,,,,,,,,,,
,category_merchant_correlation,,,,,,,,,es_transportation,205426.0,5539423.4,,M348934600,,,,,0.0,,,,,,,,,,,
,category_merchant_correlation,,,,,,,,,es_food,26254.0,973246.41,,M85975013,,,,,0.0,,,,,,,,,,,
,category_merchant_correlation,,,,,,,,,es_health,6821.0,703056.31,,M1053599405,,,,,0.0,,,,,,,,,,,
,category_merchant_correlation,,,,,,,,,es_barsandrestaurants,6373.0,276977.04,,M151143676,,,,,1.88,,,,,,,,,,,
