step,customer,age,gender,merchant,category,amount,fraud,amount_zscore,anomaly_type
25,C1237248073,3,F,M78078399,es_wellnessandbeauty,567.69,1,7.677529137041173,montant_élevé
116,C440694138,2,F,M480139044,es_health,1310.93,1,7.6736926848032825,montant_élevé
123,C896659218,4,F,M480139044,es_health,1309.23,1,7.662593236373088,montant_élevé
69,C179196508,3,F,M78078399,es_wellnessandbeauty,566.31,1,7.6564310925754,montant_élevé
43,C1892148523,2,F,M1198415165,es_wellnessandbeauty,565.94,1,7.6507743705084925,montant_élevé
60,C993027768,3,F,M1535107174,es_wellnessandbeauty,564.48,1,7.628453251001227,montant_élevé
157,C1476505660,1,F,M151143676,es_barsandrestaurants,335.5,1,7.60439522678057,montant_élevé
42,C1771537982,2,M,M151143676,es_barsandrestaurants,335.35,1,7.600489380858153,montant_élevé
28,C1272326382,1,M,M480139044,es_health,1298.23,1,7.59077327594243,montant_élevé
147,C201406562,3,M,M1198415165,es_wellnessandbeauty,561.35,1,7.580600440002776,montant_élevé
37,C297432139,2,F,M855959430,es_hyper,390.99,1,7.5764441110665395,montant_élevé
54,C1248026439,4,M,M480139044,es_health,1289.13,1,7.531358581404342,montant_élevé
101,C1709958311,6,M,M855959430,es_hyper,388.84,1,7.529231269096134,montant_élevé
162,C2144562698,1,F,M480139044,es_health,1286.23,1,7.512424228199895,montant_élevé
82,C1289834917,2,F,M855959430,es_hyper,387.81,1,7.506613023873103,montant_élevé
133,C616715154,2,F,M151143676,es_barsandrestaurants,331.63,1,7.503624401982178,montant_élevé
133,C1434797923,3,M,M480139044,es_health,1284.7,1,7.502434724612724,montant_élevé
24,C1248026439,4,M,M1535107174,es_wellnessandbeauty,555.83,1,7.496208262139694,montant_élevé
41,C417267123,2,F,M840466850,es_tech,1071.69,1,7.483525040088053,montant_élevé
144,C1107442215,2,F,M1198415165,es_wellnessandbeauty,552.48,1,7.444991994777134,montant_élevé
5,C1703739582,4,F,M855959430,es_hyper,384.63,1,7.436781936679667,montant_élevé
23,C1175850429,4,M,M151143676,es_barsandrestaurants,327.05,1,7.384365906484338,montant_élevé
25,C126638730,3,F,M1198415165,es_wellnessandbeauty,543.4,1,7.30617297756757,montant_élevé
51,C1883962820,3,F,M209847108,es_wellnessandbeauty,542.58,1,7.293636458392258,montant_élevé
98,C483912131,2,F,M480139044,es_health,1251.33,1,7.284559081015352,montant_élevé
31,C1686098746,0,M,M1198415165,es_wellnessandbeauty,541.88,1,7.282934551779185,montant_élevé
4,C1490048317,6,F,M1198415165,es_wellnessandbeauty,541.86,1,7.282628783018812,montant_élevé
115,C802146030,2,M,M1535107174,es_wellnessandbeauty,541.79,1,7.281558592357504,montant_élevé
63,C1744280753,2,M,M151143676,es_barsandrestaurants,320.27,1,7.20782167079103,montant_élevé
131,C187473376,2,F,M840466850,es_tech,1030.06,1,7.155845052583949,montant_élevé
155,C2138532527,5,M,M923029380,es_home,1540.23,1,7.134488110000439,montant_élevé
33,C1548873226,1,M,M1198415165,es_wellnessandbeauty,532.02,1,7.1321905529150555,montant_élevé
107,C799349963,3,M,M855959430,es_hyper,370.23,1,7.120565692784864,montant_élevé
27,C615281750,3,F,M1198415165,es_wellnessandbeauty,531.24,1,7.12026557126049,montant_élevé
119,C967790734,4,F,M840466850,es_tech,1024.36,1,7.110978948121461,montant_élevé
22,C811312110,3,F,M1198415165,es_wellnessandbeauty,528.87,1,7.084031973156232,montant_élevé
158,C825622087,2,F,M1535107174,es_wellnessandbeauty,527.9,1,7.069202188278117,montant_élevé
56,C1350963410,5,F,M547558035,es_fashion,456.97,1,7.052047398554159,montant_élevé
114,C1653588482,2,F,M1198415165,es_wellnessandbeauty,526.41,1,7.046422415630292,montant_élevé
144,C611182051,2,F,M547558035,es_fashion,454.99,1,7.01636394841843,montant_élevé
36,C1597422235,3,F,M209847108,es_wellnessandbeauty,523.1,1,6.995817685788481,montant_élevé
179,C245117318,3,F,M1748431652,es_wellnessandbeauty,521.84,1,6.9765542538849505,montant_élevé
108,C154987119,3,M,M1198415165,es_wellnessandbeauty,520.82,1,6.960960047105903,montant_élevé
114,C82010125,3,M,M480139044,es_health,1201.51,1,6.959279951137594,montant_élevé
167,C929919235,1,M,M1198415165,es_wellnessandbeauty,520.47,1,6.955609093799366,montant_élevé
30,C963460752,3,M,M855959430,es_hyper,362.31,1,6.946646758642721,montant_élevé
36,C55178455,3,M,M480139044,es_health,1197.16,1,6.930878421330925,montant_élevé
31,C1175850429,4,M,M1198415165,es_wellnessandbeauty,517.95,1,6.917082229992308,montant_élevé
108,C932908444,1,F,M209847108,es_wellnessandbeauty,516.87,1,6.900570716932139,montant_élevé
46,C1685492470,2,F,M151143676,es_barsandrestaurants,308.41,1,6.898999453191823,montant_élevé
134,C906611945,2,M,M480139044,es_health,1191.55,1,6.894250241511289,montant_élevé
38,C1983968298,4,M,M480139044,es_health,1191.42,1,6.893401460160744,montant_élevé
14,C1464489812,4,M,M840466850,es_tech,995.2,1,6.881453403187048,montant_élevé
30,C1312615175,4,F,M547558035,es_fashion,446.83,1,6.869304881192394,montant_élevé
24,C1515184734,1,F,M547558035,es_fashion,444.99,1,6.836144503288485,montant_élevé
28,C611182051,2,F,M480139044,es_health,1181.69,1,6.829873440616171,montant_élevé
47,C910454738,4,F,M855959430,es_hyper,356.34,1,6.815548774194666,montant_élevé
40,C382331420,4,F,M480139044,es_health,1179.38,1,6.814791248925733,montant_élevé
70,C806399525,2,F,M855959430,es_hyper,355.02,1,6.786562285170977,montant_élevé
28,C1404684380,5,F,M480139044,es_health,1174.68,1,6.784104538559908,montant_élevé
132,C1573211398,3,F,M840466850,es_tech,981.26,1,6.771728228413874,montant_élevé
11,C704456922,2,M,M855959430,es_hyper,354.31,1,6.770971067590052,montant_élevé
39,C2055489140,5,M,M151143676,es_barsandrestaurants,303.39,1,6.768283809654889,montant_élevé
13,C1906711479,4,F,M1535107174,es_wellnessandbeauty,507.18,1,6.752425752531184,montant_élevé
17,C1163635747,4,M,M480139044,es_health,1167.7,1,6.738531509123,montant_élevé
44,C2113737065,2,F,M480139044,es_health,1167.2,1,6.73526696546706,montant_élevé
25,C1686098746,0,M,M78078399,es_wellnessandbeauty,504.95,1,6.718332535749539,montant_élevé
141,C2004941826,2,F,M855959430,es_hyper,351.2,1,6.702677142693327,montant_élevé
54,C1350963410,5,F,M209847108,es_wellnessandbeauty,503.26,1,6.6924950754979795,montant_élevé
147,C1649412954,4,M,M2122776122,es_home,1449.53,1,6.663720395379362,montant_élevé
80,C296571542,2,F,M1535107174,es_wellnessandbeauty,500.92,1,6.656720130534282,montant_élevé
14,C1572610482,3,F,M1198415165,es_wellnessandbeauty,500.43,1,6.649228795905131,montant_élevé
35,C1175850429,4,M,M480139044,es_health,1150.44,1,6.625839462119985,montant_élevé
150,C1225533078,2,F,M840466850,es_tech,960.18,1,6.605802354366636,montant_élevé
43,C475928775,4,F,M1198415165,es_wellnessandbeauty,496.86,1,6.594649072178464,montant_élevé
106,C85388733,3,F,M1198415165,es_wellnessandbeauty,495.63,1,6.575844293415495,montant_élevé
172,C2138532527,5,M,M151143676,es_barsandrestaurants,295.74,1,6.569085667611556,montant_élevé
105,C1175850429,4,M,M480139044,es_health,1139.04,1,6.551407866764575,montant_élevé
42,C721654925,2,M,M151143676,es_barsandrestaurants,294.82,1,6.545129812620723,montant_élevé
40,C187473376,2,F,M78078399,es_wellnessandbeauty,490.99,1,6.504905941008845,montant_élevé
102,C1174735331,3,F,M1198415165,es_wellnessandbeauty,490.65,1,6.499707872082495,montant_élevé
21,C1057813963,2,F,M480139044,es_health,1130.3,1,6.494343643658762,montant_élevé
47,C809005315,2,F,M480139044,es_health,1129.53,1,6.489316246428616,montant_élevé
131,C1204610604,2,F,M1198415165,es_wellnessandbeauty,489.91,1,6.488394427948677,montant_élevé
50,C189036899,0,F,M209847108,es_wellnessandbeauty,489.86,1,6.487630006047743,montant_élevé
170,C1153569753,4,F,M547558035,es_fashion,424.97,1,6.475345174138334,montant_élevé
1,C375144053,6,F,M480139044,es_health,1126.96,1,6.47253649203709,montant_élevé
111,C1282333137,2,F,M1198415165,es_wellnessandbeauty,487.67,1,6.4541483267868465,montant_élevé
57,C1355090926,3,F,M855959430,es_hyper,339.69,1,6.4499237421913,montant_élevé
77,C373567366,4,F,M209847108,es_wellnessandbeauty,487.28,1,6.4481858359595625,montant_élevé
146,C294759668,3,M,M1198415165,es_wellnessandbeauty,487.23,1,6.4474214140586295,montant_élevé
2,C1205257074,1,F,M1198415165,es_wellnessandbeauty,486.35,1,6.433967588602196,montant_élevé
90,C1344489848,4,F,M855959430,es_hyper,338.86,1,6.431697389244586,montant_élevé
30,C85075290,3,F,M547558035,es_fashion,422.51,1,6.431011190636367,montant_élevé
78,C201406562,3,M,M855959430,es_hyper,337.01,1,6.3910723856886555,montant_élevé
124,C929919235,1,M,M855959430,es_hyper,336.99,1,6.390633196461025,montant_élevé
152,C1647495093,3,M,M480139044,es_health,1113.07,1,6.381847469275104,montant_élevé
138,C1931900243,5,F,M1198415165,es_wellnessandbeauty,482.35,1,6.372813836527499,montant_élevé
19,C1978250683,3,F,M480139044,es_health,1111.65,1,6.372576165292238,montant_élevé
140,C1838494462,2,F,M1198415165,es_wellnessandbeauty,480.89,1,6.350492717020233,montant_élevé
139,C908162687,6,F,M855959430,es_hyper,335.06,1,6.348251435994568,montant_élevé
42,C179390259,4,F,M480139044,es_health,1107.41,1,6.344892835089875,montant_élevé
84,C2126657609,2,F,M1535107174,es_wellnessandbeauty,480.32,1,6.341778307349589,montant_élevé
18,C2055156879,3,F,M855959430,es_hyper,334.25,1,6.330464272275485,montant_élevé
137,C1147973334,2,F,M840466850,es_tech,922.16,1,6.306537566355443,montant_élevé
108,C1312615175,4,F,M480139044,es_health,1099.89,1,6.295794098504553,montant_élevé
69,C1655037147,2,F,M1535107174,es_wellnessandbeauty,477.12,1,6.292855305689831,montant_élevé
166,C616715154,2,F,M480139044,es_health,1097.89,1,6.282735923880797,montant_élevé
35,C1345265337,2,M,M1535107174,es_wellnessandbeauty,475.95,1,6.274967833207982,montant_élevé
19,C1334695551,2,F,M855959430,es_hyper,331.2,1,6.2634879150616545,montant_élevé
115,C1647495093,3,M,M855959430,es_hyper,330.9,1,6.256900076647179,montant_élevé
174,C1148772789,4,M,M840466850,es_tech,913.52,1,6.238529997485987,montant_élevé
56,C1572610482,3,F,M480139044,es_health,1090.8,1,6.236444694839581,montant_élevé
35,C1237476993,1,M,M480139044,es_health,1090.44,1,6.234094223407306,montant_élevé
11,C1952580233,4,F,M78078399,es_wellnessandbeauty,472.62,1,6.224057334605797,montant_élevé
158,C1978250683,3,F,M547558035,es_fashion,410.75,1,6.219073123163551,montant_élevé
47,C1849046345,4,F,M480139044,es_health,1087.58,1,6.215421033695334,montant_élevé
62,C1332295774,3,M,M855959430,es_hyper,328.36,1,6.201123044737958,montant_élevé
116,C1791524453,2,F,M480139044,es_health,1083.79,1,6.190675792783317,montant_élevé
4,C211657450,1,F,M480139044,es_health,1083.7,1,6.190088174925248,montant_élevé
163,C2004941826,2,F,M855959430,es_hyper,327.19,1,6.175430474921505,montant_élevé
8,C1763624260,6,F,M209847108,es_wellnessandbeauty,468.82,1,6.165961270134833,montant_élevé
32,C706599076,2,M,M923029380,es_home,1350.01,1,6.1471735049814615,montant_élevé
99,C1338125837,3,F,M1535107174,es_wellnessandbeauty,466.37,1,6.128504596989081,montant_élevé
41,C951578955,2,M,M480139044,es_health,1073.59,1,6.124079102202161,montant_élevé
157,C1382187685,1,F,M1198415165,es_wellnessandbeauty,465.11,1,6.109241165085551,montant_élevé
166,C1994178184,4,M,M840466850,es_tech,895.99,1,6.100547048147844,montant_élevé
29,C576358551,6,M,M855959430,es_hyper,323.23,1,6.088471007850434,montant_élevé
92,C1375956198,3,F,M480139044,es_health,1068.04,1,6.0878426676212385,montant_élevé
90,C195373250,3,M,M480139044,es_health,1067.64,1,6.0852310326964885,montant_élevé
63,C1647495093,3,M,M1198415165,es_wellnessandbeauty,462.12,1,6.063528735409715,montant_élevé
26,C1849046345,4,F,M1198415165,es_wellnessandbeauty,461.65,1,6.056343169540938,montant_élevé
65,C375144053,6,F,M480139044,es_health,1062.95,1,6.05460961320378,montant_élevé
137,C1014347664,6,M,M151143676,es_barsandrestaurants,275.55,1,6.04335880645405,montant_élevé
65,C233539413,2,F,M1198415165,es_wellnessandbeauty,460.65,1,6.041054731522263,montant_élevé
154,C1338396147,1,F,M855959430,es_hyper,320.79,1,6.03488992207937,montant_élevé
52,C2100371435,2,F,M480139044,es_health,1057.09,1,6.016349161556175,montant_élevé
69,C1736605496,4,M,M480139044,es_health,1056.6,1,6.013149908773354,montant_élevé
55,C696806398,2,F,M78078399,es_wellnessandbeauty,458.75,1,6.012006699286782,montant_élevé
10,C301739259,2,M,M1198415165,es_wellnessandbeauty,458.52,1,6.0084903585424865,montant_élevé
48,C1977646698,3,F,M209847108,es_wellnessandbeauty,457.77,1,5.997024030028481,montant_élevé
115,C1817318774,2,F,M480139044,es_health,1053.36,1,5.991995665882869,montant_élevé
77,C1124449361,6,M,M209847108,es_wellnessandbeauty,456.21,1,5.9731740667193485,montant_élevé
93,C1175850429,4,M,M923029380,es_home,1314.75,1,5.96416060952899,montant_élevé
154,C1293579037,2,F,M1748431652,es_wellnessandbeauty,454.62,1,5.948865450269657,montant_élevé
61,C577335130,4,M,M480139044,es_health,1046.25,1,5.945573855095417,montant_élevé
135,C2057462116,1,M,M480139044,es_health,1043.81,1,5.929642882054435,montant_élevé
66,C218446443,2,M,M480139044,es_health,1042.76,1,5.9227873403769635,montant_élevé
40,C910454738,4,F,M547558035,es_fashion,394.05,1,5.918106649796543,montant_élevé
0,C330615170,2,F,M1535107174,es_wellnessandbeauty,451.92,1,5.907586667619237,montant_élevé
155,C688041542,2,M,M480139044,es_health,1035.47,1,5.875190293873373,montant_élevé
148,C1817318774,2,F,M840466850,es_tech,867.27,1,5.874484851628078,montant_élevé
179,C1228152586,1,F,M1198415165,es_wellnessandbeauty,449.73,1,5.874104988358339,montant_élevé
154,C233539413,2,F,M480139044,es_health,1035.05,1,5.8724480772023835,montant_élevé
23,C475624028,2,M,M480139044,es_health,1034.82,1,5.870946387120652,montant_élevé
93,C1269217373,2,F,M480139044,es_health,1034.18,1,5.866767771241051,montant_élevé
125,C1464489812,4,M,M78078399,es_wellnessandbeauty,448.72,1,5.858663665959479,montant_élevé
36,C2113737065,2,F,M480139044,es_health,1032.72,1,5.857235303765709,montant_élevé
10,C1080032135,6,F,M1198415165,es_wellnessandbeauty,446.06,1,5.817996420829804,montant_élevé
3,C1685492470,2,F,M50039827,es_health,1025.56,1,5.810487038612662,montant_élevé
51,C806399525,2,F,M480139044,es_health,1025.4,1,5.809442384642762,montant_élevé
160,C1957046981,5,F,M480139044,es_health,1024.87,1,5.805981968367465,montant_élevé
122,C1001065306,1,M,M480139044,es_health,1024.36,1,5.802652133838408,montant_élevé
9,C1715338428,2,M,M480139044,es_health,1022.83,1,5.792662630251235,montant_élevé
149,C766302474,4,F,M1535107174,es_wellnessandbeauty,444.18,1,5.789254157354696,montant_élevé
46,C1490935984,4,F,M209847108,es_wellnessandbeauty,443.86,1,5.7843618571887205,montant_élevé
17,C1175850429,4,M,M480139044,es_health,1021.5,1,5.783978944126438,montant_élevé
118,C111678629,4,M,M480139044,es_health,1018.29,1,5.763020573855309,montant_élevé
30,C1134229140,3,M,M480139044,es_health,1017.54,1,5.758123758371401,montant_élevé
111,C1019678929,4,F,M840466850,es_tech,851.65,1,5.751535982908066,montant_élevé
151,C1454826238,2,F,M855959430,es_hyper,307.63,1,5.745903410297729,montant_élevé
113,C1817318774,2,F,M1535107174,es_wellnessandbeauty,440.71,1,5.736203277429896,montant_élevé
70,C1994178184,4,M,M480139044,es_health,1014.14,1,5.735924861511015,montant_élevé
97,C764316727,5,F,M50039827,es_health,1013.69,1,5.732986772220671,montant_élevé
170,C1864768620,2,F,M480139044,es_health,1013.23,1,5.729983392057207,montant_élevé
3,C446179646,5,F,M840466850,es_tech,848.4,1,5.72595443211805,montant_élevé
163,C928481238,2,M,M1198415165,es_wellnessandbeauty,439.69,1,5.720609070650848,montant_élevé
85,C371517012,2,M,M480139044,es_health,1011.37,1,5.717839289657113,montant_élevé
149,C16723337,4,M,M209847108,es_wellnessandbeauty,439.35,1,5.715411001724499,montant_élevé
6,C605859862,5,F,M855959430,es_hyper,306.04,1,5.710987866701012,montant_élevé
12,C515668508,3,F,M480139044,es_health,1008.56,1,5.699492554310736,montant_élevé
53,C1317710133,3,M,M1535107174,es_wellnessandbeauty,438.27,1,5.69889948866433,montant_élevé
144,C616715154,2,F,M855959430,es_hyper,305.46,1,5.698251379099693,montant_élevé
45,C806399525,2,F,M480139044,es_health,1008.02,1,5.695966847162322,montant_élevé
39,C402571153,4,M,M855959430,es_hyper,305.25,1,5.693639892209561,montant_élevé
5,C553434543,2,M,M151143676,es_barsandrestaurants,261.99,1,5.690270335067434,montant_élevé
85,C371517012,2,M,M480139044,es_health,1006.88,1,5.688523687626781,montant_élevé
7,C1334695551,2,F,M1198415165,es_wellnessandbeauty,437.38,1,5.68529277882771,montant_élevé
98,C1001065306,1,M,M2122776122,es_home,1260.94,1,5.684866114228437,montant_élevé
123,C187514477,3,M,M1198415165,es_wellnessandbeauty,436.48,1,5.671533184610904,montant_élevé
158,C1344489848,4,F,M480139044,es_health,1004.06,1,5.670111661407285,montant_élevé
76,C1685492470,2,F,M855959430,es_hyper,303.88,1,5.663555430116791,montant_élevé
146,C1259389151,3,F,M480139044,es_health,1002.59,1,5.660513903058825,montant_élevé
157,C946935568,4,F,M480139044,es_health,1002.33,1,5.6588163403577365,montant_élevé
129,C1957046981,5,F,M1535107174,es_wellnessandbeauty,435.33,1,5.653951480889427,montant_élevé
90,C1817318774,2,F,M855959430,es_hyper,303.07,1,5.645768266397708,montant_élevé
5,C2109575612,5,M,M151143676,es_barsandrestaurants,259.75,1,5.6319430359593206,montant_élevé
0,C1490048317,6,F,M209847108,es_wellnessandbeauty,432.27,1,5.607168860552283,montant_élevé
160,C245117318,3,F,M209847108,es_wellnessandbeauty,432.05,1,5.603805404188176,montant_élevé
145,C1452053500,3,F,M547558035,es_fashion,376.22,1,5.596775379129851,montant_élevé
176,C1870872671,2,F,M1198415165,es_wellnessandbeauty,431.3,1,5.59233907567417,montant_élevé
97,C725705195,1,F,M480139044,es_health,992.03,1,5.591566741045393,montant_élevé
154,C649077628,3,F,M480139044,es_health,989.96,1,5.578051530309806,montant_élevé
120,C1455309687,4,F,M855959430,es_hyper,299.88,1,5.575717584590457,montant_élevé
162,C374616385,1,F,M480139044,es_health,989.2,1,5.573089423952779,montant_élevé
35,C617723960,4,F,M855959430,es_hyper,299.64,1,5.570447313858876,montant_élevé
158,C1496962993,5,F,M480139044,es_health,987.28,1,5.560553576313973,montant_élevé
125,C1334045764,3,F,M1198415165,es_wellnessandbeauty,428.55,1,5.550295871122815,montant_élevé
88,C617723960,4,F,M1198415165,es_wellnessandbeauty,428.17,1,5.544486264675719,montant_élevé
134,C1490935984,4,F,M480139044,es_health,983.98,1,5.539007588184775,montant_élevé
17,C1464489812,4,M,M480139044,es_health,977.76,1,5.498396665104894,montant_élevé
81,C1506066038,5,M,M547558035,es_fashion,370.58,1,5.495131612076561,montant_élevé
131,C1468001998,3,F,M1198415165,es_wellnessandbeauty,424.58,1,5.489600772188678,montant_élevé
151,C245117318,3,F,M1535107174,es_wellnessandbeauty,424.55,1,5.489142119048117,montant_élevé
128,C27106217,2,M,M480139044,es_health,975.26,1,5.482073946825199,montant_élevé
4,C1736605496,4,M,M1748431652,es_wellnessandbeauty,423.5,1,5.47308925912851,montant_élevé
158,C660475396,5,M,M480139044,es_health,973.17,1,5.468428154343374,montant_élevé
135,C1781953799,5,M,M78078399,es_wellnessandbeauty,422.62,1,5.459635433672076,montant_élevé
100,C2075935351,U,E,M2122776122,es_home,1215.63,1,5.449689872227545,montant_élevé
19,C2004941826,2,F,M855959430,es_hyper,293.82,1,5.442643248618061,montant_élevé
